 Super Mario Odyssey alcanza las 2 millones de copias vendidas en tres días,Borja Rodríguez,31/10/2017
" Razer Phone: 5.7″ @ 120 Hz, doble altavoz frontal, 8 GB RAM y batería de 4000 mAh",Borja Rodríguez,31/10/2017
" Nokia 2 anunciado: 5″ HD, Snapdragon 212 y 4100 mAh por 99 euros",Borja Rodríguez,31/10/2017
 PlayerUnknown’s Battlegrounds mudará sus servidores de Amazon a Microsoft Azure,Borja Rodríguez,31/10/2017
 Star Wars: Battlefront II estrena tráiler de lanzamiento,Pablo Cañal,31/10/2017
 Sony nos muestra nuevo contenido del God of War,Pablo Cañal,31/10/2017
 Resident Evil 7 muestra su nuevo contenido gratuito ‘Not a Hero’ en un nuevo tráiler,Pablo Cañal,31/10/2017
" Destiny 2 muestra su primera expansión, ‘Curse of Osiris’",Pablo Cañal,31/10/2017
" Sony anuncia Oure, un nuevo título de rol para PlayStation 4",Pablo Cañal,31/10/2017
 YouTube actualizará su algoritmo de publicidad por los problemas de monetización de algunos vídeos,Pablo Cañal,30/10/2017
 Microsoft afirma que tienen problemas de stock con la Xbox One X,Pablo Cañal,30/10/2017
 Detroit: Become Human estrena nuevo tráiler con motivo de la París Games Week,Pablo Cañal,30/10/2017
 Far Cry 5 nos muestra cómo será su Modo Cooperativo,Borja Rodríguez,30/10/2017
 El remake de Shadow of the Colossus se muestra en un nuevo tráiler,Pablo Cañal,30/10/2017
 SteelSeries Apex M750 TKL: Teclado mecánico RGB en formato compacto,Borja Rodríguez,30/10/2017
" La Nintendo Switch alcanza las 7,63 millones de unidades vendidas",Pablo Cañal,30/10/2017
" Erica, otro título exclusivo para PlayStation 4 dotado de actores reales",Borja Rodríguez,30/10/2017
 The Last of Us: Part II nos lleva a un bosque lleno de sufrimiento en su nuevo tráiler,Borja Rodríguez,30/10/2017
 Spider-Man se muestra en un nuevo traíler durante la París Games Week,Borja Rodríguez,30/10/2017
 Microsoft anunciará novedades de PlayerUnknown’s Battlegrounds esta semana,Pablo Cañal,30/10/2017
 F1 2017 llegará el 2 de Noviembre a Linux bajo la API Vulkan,Borja Rodríguez,30/10/2017
 Review: Aorus GeForce GTX 1080 11Gbps,Iván Martínez,30/10/2017
 Nvidia GeForce 388.13 WHQL: Soporte para la GTX 1070 Ti y optimizaciones,Borja Rodríguez,30/10/2017
" MSI GT75VR Titan: 17″ @ 120 Hz, teclado mecánico RGB & GTX 1080 o 2x GTX 1070 SLI",Borja Rodríguez,30/10/2017
 MSI actualiza sus placas LGA1151 para incorporar el TXE 3.0 y mejorar la seguridad del sistema,Borja Rodríguez,30/10/2017
 Tt eSports Nemesis: Ratón gaming con 12 botones e iluminación RGB,Borja Rodríguez,30/10/2017
 Destiny 2 se actualizará para ser compatible con las CPUs AMD Phenom II,Borja Rodríguez,30/10/2017
 Asus ROG Strix GeForce 1080 Ti Assassin’s Creed Origins Edition filtrada en imágenes,Borja Rodríguez,29/10/2017
 Apple despide a un ingeniero después de que su hija mostrara el iPhone X en YouTube,Borja Rodríguez,29/10/2017
 Microsoft muestra sus nuevos estudios para crear hologramas para la Realidad Mixta,Borja Rodríguez,29/10/2017
" Asus dice que su Strix GeForce GTX 1070 Ti es 2 FPS más rápida que la FE, con gráficos engañosos",Borja Rodríguez,29/10/2017
 Xigmatek Prosper: Semitorre con cuádruple panel de vidrio templado y RGB,Borja Rodríguez,29/10/2017
 Outlast II promete ofrecer los 4K @ 60 FPS en la Xbox One X,Borja Rodríguez,29/10/2017
 Samsung une 40x Galaxy S5 en un clúster para minar Bitcoins,Borja Rodríguez,29/10/2017
 Final Fantasy XV – Requisitos mínimos y recomendados,Iván Martínez,29/10/2017
 Corsair Dominator Airflow Platinum RGB Fan: Disipador para la memoria RAM,Borja Rodríguez,29/10/2017
 Qualcomm presentaría el Snapdragon 845 a principios de Diciembre,Borja Rodríguez,29/10/2017
 Las especificaciones del Nokia 2 se confirman tras su paso por AnTuTu,Borja Rodríguez,28/10/2017
 Cougar lanza sus ratones gaming Minos X5 y Revenger S,Borja Rodríguez,28/10/2017
 La GeForce GTX 1060 es más rápida que la Radeon RX Vega 64 en el Assassin’s Creed: Origins @ Full HD,Borja Rodríguez,28/10/2017
 Assassin’s Creed: Origins en PlayStation 4 Pro vs PlayStation 4; Resolución Dinámica everywhere,Borja Rodríguez,28/10/2017
 Apple dice que las reservas del iPhone X son mucho más elevadas de lo esperado,Borja Rodríguez,28/10/2017
" Intel lanza su Optane SSD 900P, muy caro pero también muy rápido",Borja Rodríguez,28/10/2017
 AMD lanza los Radeon Software Crimson ReLive 17.10.3 Beta,Borja Rodríguez,28/10/2017
 Detectan el primer ‘objeto interestelar’ en venir de otro sistema solar,Pablo Cañal,28/10/2017
 EA pide a Revive Network que tire abajo los servidores gratuitos de Battlefield Heroes & 2142,Pablo Cañal,28/10/2017
 Nvidia lanza los controladores GeForce 388.10 Hotfix para Wolfenstein II,Borja Rodríguez,27/10/2017
 Un jugador de EVE Online recurre al mundo del porno para conseguir créditos del juego,Pablo Cañal,27/10/2017
 Reparar la pantalla del iPhone X costará la friolera cantidad de 321 euros,Pablo Cañal,27/10/2017
 Call of Duty: WWII ocupa el doble de espacio en PC vs consolas: 90GB,Borja Rodríguez,27/10/2017
 Review: BenQ EW277HDR (27″ Full HD con modo HDR),Iván Martínez,27/10/2017
" Sony Xperia R1 Plus y Xperia R1 anunciados, diseño antiguo y hardware modesto",Borja Rodríguez,27/10/2017
" El LeEco Le Max 2 sigue muy vivo: 5.7″ 2K, Snapdragon 820 y 4GB RAM por 150 euros",Borja Rodríguez,27/10/2017
 Chuwi CoreBook: Convertible de 13.3″ con un Core m3-7Y30 y 6GB de RAM,Borja Rodríguez,27/10/2017
 PcComponentes arranca sus rebajas en la semana ‘Halloween Gaming’,Borja Rodríguez,27/10/2017
" El iPhone X ya está disponible para su pre-compra, hasta 6 semanas de espera para recibirlo",Borja Rodríguez,27/10/2017
 WhatsApp recibe la capacidad de poder eliminar los mensajes enviados,Borja Rodríguez,27/10/2017
 Hiditec NG-RX: Chasis espacioso acompañado de 4 ventiladores LED,Borja Rodríguez,27/10/2017
" ‘Sophia’, el primer robot ciudadano de un país de la historia",Pablo Cañal,27/10/2017
 Microsoft estaría desarrollando una tablet plegable con Windows 10 y SoC ARM,Borja Rodríguez,26/10/2017
 MSI GS63 Stealth: 15.6″ @ 60/120 Hz con una GeForce GTX 1050 en 17.7mm de grosor y 1.8kg,Borja Rodríguez,26/10/2017
 Ubisoft trae de vuelta los créditos Helix en Assassin’s Creed: Origins,Pablo Cañal,26/10/2017
 Steam presenta su nuevo sistema de tarjetas de regalo digitales,Pablo Cañal,26/10/2017
 Descarga gratis Guns of Icarus Online [PC/Steam],Borja Rodríguez,26/10/2017
" Arranca la “Venta de Halloween” en Steam, rebajas hasta el 1 de Noviembre",Borja Rodríguez,26/10/2017
 La edición física de Destiny 2 en PC incluye un papel en forma de CD con la clave de descarga,Borja Rodríguez,26/10/2017
 Razer Cynosa Chroma Pro y Cynosa Chroma: Teclados RGB resistentes a líquidos,Borja Rodríguez,26/10/2017
" Honda presenta su Gold Wing 2018, la primera moto en equipar CarPlay",Pablo Cañal,26/10/2017
 AMD lanza sus APUs Ryzen 7 2700U y Ryzen 5 2500U para portátiles,Borja Rodríguez,26/10/2017
 Review: Corsair Carbide Spec-04 Tempered Glass,Iván Martínez,26/10/2017
" Nvidia GeForce GTX 1070 Ti anunciada, llega el 2 de Noviembre por 469 euros",Borja Rodríguez,26/10/2017
 Primeras fotografías del OnePlus 5T,Borja Rodríguez,26/10/2017
 Gigabyte GeForce GTX 1070 Ti Gaming anunciada oficialmente,Borja Rodríguez,26/10/2017
 Apple niega que haya reducido la calidad del Face ID en sus iPhone X,Borja Rodríguez,26/10/2017
 AMD reduce el precio de su CPU Ryzen Threadripper 1950X,Borja Rodríguez,26/10/2017
 Sombras de Guerra cuenta con más de 1.5 millones de jugadores activos,Borja Rodríguez,26/10/2017
 La Tierra Media: Sombras de Guerra detalla los contenidos de su Pase de Temporada,Pablo Cañal,26/10/2017
